col1|col2|col3|col4|col5|col6|col7|col8
1352|3|300|5|180|0|0.00|0
1352|4|500|14|3,10|0|0.00|0
1105|1|50|4|90|0|0.00|0
1105|2|150|9|2|0|0.00|0
1105|3|300|5|180|0|0.00|0
1105|4|500|14|3,10|0|0.00|0
1106|1|50|4|90|0|0.00|0
1106|2|150|9|2|0|0.00|0
1106|3|300|5|180|0|0.00|0
1106|4|500|14|3,10|0|0.00|0
1353|1|50|4|90|0|0.00|0
1353|2|150|9|2|0|0.00|0
1353|3|300|5|180|0|0.00|0
1353|4|500|14|3,10|0|0.00|0
1107|1|50|4|90|0|0.00|0
1107|2|150|14|4,10|0|0.00|0
1107|3|300|5|180|0|0.00|0
1107|4|500|19|5,1|0|0.00|0
1108|1|50|4|90|0|0.00|0
1108|2|150|14|4,10|0|0.00|0
1108|3|300|5|180|0|0.00|0
1108|4|500|19|5,1|0|0.00|0
1354|1|50|4|90|0|0.00|0
1354|2|150|14|4,10|0|0.00|0
1354|3|300|5|180|0|0.00|0
1354|4|500|19|5,1|0|0.00|0
1109|1|50|4|90|0|0.00|0
1109|2|150|14|4,10|0|0.00|0
1109|3|300|5|180|0|0.00|0
1109|4|500|19|5,1|0|0.00|0
1110|1|50|4|90|0|0.00|0
1110|2|150|14|4,10|0|0.00|0
1110|3|300|5|180|0|0.00|0
1110|4|500|19|5,1|0|0.00|0
1355|1|50|4|90|0|0.00|0
1355|2|150|14|4,10|0|0.00|0
1355|3|300|5|180|0|0.00|0
1355|4|500|19|5,1|0|0.00|0
1126|5|0|10015|10015|1|1.10|5123
1126|1|50|4|90|0|0.00|0
1126|2|150|22|592|0|0.00|0
1126|3|300|5|180|0|0.00|0
1126|4|500|22|180|0|0.00|0
1127|1|50|4|90|0|0.00|0
1127|2|150|8|2|0|0.00|0
1127|3|300|5|180|0|0.00|0
1127|4|500|11|1353|0|0.00|0
1127|5|0|10016|10016|1|1.10|5126
1128|1|50|4|90|0|0.00|0
1128|2|150|14|3,10|0|0.00|0
1128|3|300|5|180|0|0.00|0
1128|4|500|11|1391|0|0.00|0
1128|5|0|10017|10017|1|1.10|5125
1129|5|0|10018|10018|1|1.10|5122
1129|1|50|4|90|0|0.00|0
1129|2|150|15|3,10|0|0.00|0
1129|3|300|5|180|0|0.00|0
1129|4|500|14|4,10|0|0.00|0
1130|5|0|10019|10019|1|1.10|5124
1130|1|50|4|90|0|0.00|0
1130|2|150|9|4|0|0.00|0
1130|3|300|5|180|0|0.00|0
1130|4|500|34|4,8,15|0|0.00|0
1136|1|50|5|90|0|0.00|0
1136|2|150|15|3,10|0|0.00|0
1136|3|300|4|180|0|0.00|0
1136|4|500|14|3,10|0|0.00|0
1137|1|50|5|90|0|0.00|0
1137|2|150|15|3,10|0|0.00|0
1137|3|300|4|180|0|0.00|0
1137|4|500|14|3,10|0|0.00|0
1375|1|50|5|90|0|0.00|0
1375|2|150|15|3,10|0|0.00|0
1375|3|300|4|180|0|0.00|0
1375|4|500|14|3,10|0|0.00|0
1138|1|50|5|90|0|0.00|0
1138|2|150|14|3,10|0|0.00|0
1138|3|300|4|180|0|0.00|0
1138|4|500|21|2,25|0|0.00|0
1139|1|50|5|90|0|0.00|0
1139|2|150|14|3,10|0|0.00|0
1139|3|300|4|180|0|0.00|0
1139|4|500|21|2,25|0|0.00|0
1376|1|50|5|90|0|0.00|0
1376|2|150|14|3,10|0|0.00|0
1376|3|300|4|180|0|0.00|0
1376|4|500|21|2,25|0|0.00|0
1140|1|50|5|90|0|0.00|0
1140|2|150|14|3,10|0|0.00|0
1140|3|300|4|180|0|0.00|0
1140|4|500|21|3,25|0|0.00|0
1141|1|50|5|90|0|0.00|0
1141|2|150|14|3,10|0|0.00|0
1141|3|300|4|180|0|0.00|0
1141|4|500|21|3,25|0|0.00|0
1377|1|50|5|90|0|0.00|0
1377|2|150|14|3,10|0|0.00|0
1377|3|300|4|180|0|0.00|0
1377|4|500|21|3,25|0|0.00|0
1142|1|50|5|90|0|0.00|0
1142|2|150|14|3,10|0|0.00|0
1142|3|300|4|180|0|0.00|0
1142|4|500|14|4,10|0|0.00|0
1143|1|50|5|90|0|0.00|0
1143|2|150|14|3,10|0|0.00|0
1143|3|300|4|180|0|0.00|0
1143|4|500|14|4,10|0|0.00|0
1378|1|50|5|90|0|0.00|0
1378|2|150|14|3,10|0|0.00|0
1378|3|300|4|180|0|0.00|0
1378|4|500|14|4,10|0|0.00|0
1144|1|50|5|90|0|0.00|0
1144|2|150|15|3,10|0|0.00|0
1144|3|300|4|180|0|0.00|0
1144|4|500|14|3,10|0|0.00|0
1145|1|50|5|90|0|0.00|0
1145|2|150|15|3,10|0|0.00|0
1145|3|300|4|180|0|0.00|0
1145|4|500|14|3,10|0|0.00|0
1379|1|50|5|90|0|0.00|0
1379|2|150|15|3,10|0|0.00|0
1379|3|300|4|180|0|0.00|0
1379|4|500|14|3,10|0|0.00|0
1166|1|50|4|120|0|0.00|0
1166|2|150|15|3,10|0|0.00|0
1166|3|300|5|90|0|0.00|0
1166|4|500|14|3,10|0|0.00|0
1167|1|50|4|120|0|0.00|0
1167|2|150|15|3,10|0|0.00|0
1167|3|300|5|90|0|0.00|0
1167|4|500|14|3,10|0|0.00|0
2041|1|50|4|120|0|0.00|0
2041|2|150|15|3,10|0|0.00|0
2041|3|300|5|90|0|0.00|0
2041|4|500|14|3,10|0|0.00|0
2042|1|50|4|120|0|0.00|0
2042|2|150|15|3,10|0|0.00|0
2042|3|300|5|90|0|0.00|0
2042|4|500|14|3,10|0|0.00|0
1168|1|50|4|120|0|0.00|0
1168|2|150|15|3,10|0|0.00|0
1168|3|300|5|90|0|0.00|0
1168|4|500|14|3,10|0|0.00|0
1169|1|50|4|120|0|0.00|0
1169|2|150|15|3,10|0|0.00|0
1169|3|300|5|90|0|0.00|0
1169|4|500|14|3,10|0|0.00|0
2043|1|50|4|120|0|0.00|0
2043|2|150|15|3,10|0|0.00|0
2043|3|300|5|90|0|0.00|0
2043|4|500|14|3,10|0|0.00|0
2044|1|50|4|120|0|0.00|0
2044|2|150|15|3,10|0|0.00|0
2044|3|300|5|90|0|0.00|0
2044|4|500|14|3,10|0|0.00|0
1170|1|50|4|120|0|0.00|0
1170|2|150|15|3,10|0|0.00|0
1170|3|300|5|90|0|0.00|0
1170|4|500|14|3,10|0|0.00|0
1171|1|50|4|120|0|0.00|0
1171|2|150|15|3,10|0|0.00|0
1171|3|300|5|90|0|0.00|0
1171|4|500|14|3,10|0|0.00|0
2045|1|50|4|120|0|0.00|0
2045|2|150|15|3,10|0|0.00|0
2045|3|300|5|90|0|0.00|0
2045|4|500|14|3,10|0|0.00|0
2046|1|50|4|120|0|0.00|0
2046|2|150|15|3,10|0|0.00|0
2046|3|300|5|90|0|0.00|0
2046|4|500|14|3,10|0|0.00|0
1172|1|50|4|120|0|0.00|0
1172|2|150|15|3,10|0|0.00|0
1172|3|300|5|90|0|0.00|0
1172|4|500|14|3,10|0|0.00|0
1173|1|50|4|120|0|0.00|0
1173|2|150|15|3,10|0|0.00|0
1173|3|300|5|90|0|0.00|0
1173|4|500|14|3,10|0|0.00|0
2047|1|50|4|120|0|0.00|0
2047|2|150|15|3,10|0|0.00|0
2047|3|300|5|90|0|0.00|0
2047|4|500|14|3,10|0|0.00|0
2048|1|50|4|120|0|0.00|0
2048|2|150|15|3,10|0|0.00|0
2048|3|300|5|90|0|0.00|0
2048|4|500|14|3,10|0|0.00|0
1174|1|50|4|120|0|0.00|0
1174|2|150|15|3,10|0|0.00|0
1174|3|300|5|90|0|0.00|0
1174|4|500|14|3,10|0|0.00|0
1175|1|50|4|120|0|0.00|0
1175|2|150|15|3,10|0|0.00|0
1175|3|300|5|90|0|0.00|0
1175|4|500|14|3,10|0|0.00|0
2049|1|50|4|120|0|0.00|0
2049|2|150|15|3,10|0|0.00|0
2049|3|300|5|90|0|0.00|0
2049|4|500|14|3,10|0|0.00|0
2050|1|50|4|120|0|0.00|0
2050|2|150|15|3,10|0|0.00|0
2050|3|300|5|90|0|0.00|0
2050|4|500|14|3,10|0|0.00|0
118|1|50|5|90|0|0.00|0
118|2|100|15|3,10|0|0.00|0
118|3|200|6|60|0|0.00|0
118|4|400|14|4,10|0|0.00|0
481|1|50|5|90|0|0.00|0
481|2|100|15|3,10|0|0.00|0
481|3|200|6|60|0|0.00|0
481|4|400|14|4,10|0|0.00|0
12|1|50|6|20|0|0.00|0
12|2|150|9|2|0|0.00|0
12|3|300|5|120|0|0.00|0
12|4|500|14|4,10|0|0.00|0
410|1|50|6|20|0|0.00|0
410|2|150|9|2|0|0.00|0
410|3|300|5|120|0|0.00|0
410|4|500|14|4,10|0|0.00|0
1201|1|50|6|90|0|0.00|0
1201|2|150|15|3,10|0|0.00|0
1201|3|300|5|140|0|0.00|0
1201|4|500|14|3,10|0|0.00|0
1202|1|50|6|90|0|0.00|0
1202|2|150|34|3,1,15|0|0.00|0
1202|3|300|5|140|0|0.00|0
1202|4|500|9|2|0|0.00|0
1203|1|50|6|90|0|0.00|0
1203|2|150|14|4,10|0|0.00|0
1203|3|300|5|140|0|0.00|0
1203|4|500|11|1765|0|0.00|0
1204|1|50|6|90|0|0.00|0
1204|2|150|32|4,4,15|0|0.00|0
1204|3|300|5|140|0|0.00|0
1204|4|500|21|4,25|0|0.00|0
1205|1|50|6|90|0|0.00|0
1205|2|150|14|4,10|0|0.00|0
1205|3|300|5|140|0|0.00|0
1205|4|500|14|5,15|0|0.00|0
1206|1|50|5|100|0|0.00|0
1206|2|150|32|3,2,15|0|0.00|0
1206|3|300|28|0,110,60|0|0.00|0
1206|4|500|11|1766|0|0.00|0
1207|1|50|5|100|0|0.00|0
1207|2|150|32|4,3,15|0|0.00|0
1207|3|300|28|0,110,60|0|0.00|0
1207|4|500|10|1210|0|0.00|0
1208|1|50|5|100|0|0.00|0
1208|2|150|14|3,10|0|0.00|0
1208|3|300|28|0,110,60|0|0.00|0
1208|4|500|10|1211|0|0.00|0
121|1|50|5|90|0|0.00|0
121|2|100|15|3,10|0|0.00|0
121|3|200|6|60|0|0.00|0
121|4|400|14|4,10|0|0.00|0
482|1|50|5|90|0|0.00|0
482|2|100|15|3,10|0|0.00|0
482|3|200|6|60|0|0.00|0
482|4|400|14|4,10|0|0.00|0
1221|1|50|6|100|0|0.00|0
1221|2|150|15|3,10|0|0.00|0
1221|3|300|5|180|0|0.00|0
1221|4|500|14|3,10|0|0.00|0
1222|1|50|6|100|0|0.00|0
1222|2|150|15|3,10|0|0.00|0
1222|3|300|5|180|0|0.00|0
1222|4|500|14|3,10|0|0.00|0
1390|1|50|6|100|0|0.00|0
1390|2|150|15|3,10|0|0.00|0
1390|3|300|5|180|0|0.00|0
1390|4|500|14|3,10|0|0.00|0
1223|1|50|4|320|0|0.00|0
1223|2|150|9|3|0|0.00|0
1223|3|300|5|150|0|0.00|0
1223|4|500|14|3,10|0|0.00|0
1224|1|50|4|320|0|0.00|0
1224|2|150|9|3|0|0.00|0
1224|3|300|5|150|0|0.00|0
1224|4|500|14|3,10|0|0.00|0
1391|1|50|4|320|0|0.00|0
1391|2|150|9|3|0|0.00|0
1391|3|300|5|150|0|0.00|0
1391|4|500|14|3,10|0|0.00|0
1225|1|50|4|320|0|0.00|0
1225|2|150|14|4,10|0|0.00|0
1225|3|300|5|150|0|0.00|0
1225|4|500|14|4,10|0|0.00|0
1226|1|50|4|320|0|0.00|0
1226|2|150|14|4,10|0|0.00|0
1226|3|300|5|150|0|0.00|0
1226|4|500|14|4,10|0|0.00|0
1392|1|50|4|320|0|0.00|0
1392|2|150|14|4,10|0|0.00|0
1392|3|300|5|150|0|0.00|0
1392|4|500|14|4,10|0|0.00|0
1227|1|50|4|500|0|0.00|0
1227|2|150|14|3,10|0|0.00|0
1227|3|300|5|100|0|0.00|0
1227|4|500|14|4,10|0|0.00|0
1228|1|50|4|500|0|0.00|0
1228|2|150|14|3,10|0|0.00|0
1228|3|300|5|100|0|0.00|0
1228|4|500|14|4,10|0|0.00|0
1393|1|50|4|500|0|0.00|0
1393|2|150|14|3,10|0|0.00|0
1393|3|300|5|100|0|0.00|0
1393|4|500|14|4,10|0|0.00|0
1229|1|50|4|500|0|0.00|0
1229|2|150|21|5,25|0|0.00|0
1229|3|300|5|100|0|0.00|0
1229|4|500|32|3,5,15|0|0.00|0
1230|1|50|4|500|0|0.00|0
1230|2|150|21|5,25|0|0.00|0
1230|3|300|5|100|0|0.00|0
1230|4|500|32|3,5,15|0|0.00|0
1394|1|50|4|500|0|0.00|0
1394|2|150|21|5,25|0|0.00|0
1394|3|300|5|100|0|0.00|0
1394|4|500|32|3,5,15|0|0.00|0
1237|1|50|4|100|0|0.00|0
1237|2|150|15|3,10|0|0.00|0
1237|3|300|5|135|0|0.00|0
1237|4|500|14|4,10|0|0.00|0
2082|1|50|4|100|0|0.00|0
2082|2|150|15|3,10|0|0.00|0
2082|3|300|5|135|0|0.00|0
2082|4|500|14|4,10|0|0.00|0
1239|1|50|4|100|0|0.00|0
1239|2|150|15|3,10|0|0.00|0
1239|3|300|5|135|0|0.00|0
1239|4|500|14|4,10|0|0.00|0
2083|1|50|4|100|0|0.00|0
2083|2|150|15|3,10|0|0.00|0
2083|3|300|5|135|0|0.00|0
2083|4|500|14|4,10|0|0.00|0
124|1|50|5|90|0|0.00|0
124|2|100|15|3,10|0|0.00|0
124|3|200|6|60|0|0.00|0
124|4|400|14|4,10|0|0.00|0
483|1|50|5|90|0|0.00|0
483|2|100|15|3,10|0|0.00|0
483|3|200|6|60|0|0.00|0
483|4|400|14|4,10|0|0.00|0
1241|1|50|4|90|0|0.00|0
1241|2|150|15|3,10|0|0.00|0
1241|3|300|5|120|0|0.00|0
1241|4|500|14|4,10|0|0.00|0
2084|1|50|4|90|0|0.00|0
2084|2|150|15|3,10|0|0.00|0
2084|3|300|5|120|0|0.00|0
2084|4|500|14|4,10|0|0.00|0
1243|1|50|4|90|0|0.00|0
1243|2|150|15|3,10|0|0.00|0
1243|3|300|5|120|0|0.00|0
1243|4|500|14|4,10|0|0.00|0
2085|1|50|4|90|0|0.00|0
2085|2|150|15|3,10|0|0.00|0
2085|3|300|5|120|0|0.00|0
2085|4|500|14|4,10|0|0.00|0
1245|1|50|4|125|0|0.00|0
1245|2|150|15|3,10|0|0.00|0
1245|3|300|28|150,0,30|0|0.00|0
1245|4|500|14|3,10|0|0.00|0
2086|1|50|4|125|0|0.00|0
2086|2|150|15|3,10|0|0.00|0
2086|3|300|28|150,0,30|0|0.00|0
2086|4|500|14|3,10|0|0.00|0
1247|1|50|6|100|0|0.00|0
1247|2|150|15|3,10|0|0.00|0
1247|3|300|5|180|0|0.00|0
1247|4|500|14|4,10|0|0.00|0
2087|1|50|6|100|0|0.00|0
2087|2|150|15|3,10|0|0.00|0
2087|3|300|5|180|0|0.00|0
2087|4|500|14|4,10|0|0.00|0
1249|1|50|5|100|0|0.00|0
1249|2|150|15|3,10|0|0.00|0
1249|3|300|4|100|0|0.00|0
1249|4|500|14|4,10|0|0.00|0
2088|1|50|5|100|0|0.00|0
2088|2|150|15|3,10|0|0.00|0
2088|3|300|4|100|0|0.00|0
2088|4|500|14|4,10|0|0.00|0
1251|1|50|4|120|0|0.00|0
1251|2|150|31|3,1,12|0|0.00|0
1251|3|300|5|90|0|0.00|0
1251|4|500|34|4,1,12|0|0.00|0
2089|1|50|4|120|0|0.00|0
2089|2|150|31|3,1,12|0|0.00|0
2089|3|300|5|90|0|0.00|0
2089|4|500|34|4,1,12|0|0.00|0
127|1|50|5|90|0|0.00|0
127|2|100|15|3,10|0|0.00|0
127|3|200|6|60|0|0.00|0
127|4|400|14|4,10|0|0.00|0
484|1|50|5|90|0|0.00|0
484|2|100|15|3,10|0|0.00|0
484|3|200|6|60|0|0.00|0
484|4|400|14|4,10|0|0.00|0
130|1|50|5|90|0|0.00|0
130|2|100|15|3,10|0|0.00|0
130|3|200|6|60|0|0.00|0
130|4|400|14|4,10|0|0.00|0
485|1|50|5|90|0|0.00|0
485|2|100|15|3,10|0|0.00|0
485|3|200|6|60|0|0.00|0
485|4|400|14|4,10|0|0.00|0
133|1|50|5|60|0|0.00|0
133|2|100|14|3,10|0|0.00|0
133|3|200|4|300|0|0.00|0
133|4|400|14|4,10|0|0.00|0
686|1|50|5|60|0|0.00|0
686|2|100|14|3,10|0|0.00|0
686|3|200|4|300|0|0.00|0
686|4|400|14|4,10|0|0.00|0
1332|1|50|4|170|0|0.00|0
1332|2|150|8|4|0|0.00|0
1332|3|300|5|120|0|0.00|0
1332|4|500|14|3,10|0|0.00|0
1333|1|50|4|170|0|0.00|0
1333|2|150|8|4|0|0.00|0
1333|3|300|5|120|0|0.00|0
1333|4|500|14|3,10|0|0.00|0
1334|1|50|4|170|0|0.00|0
1334|2|150|8|4|0|0.00|0
1334|3|300|5|120|0|0.00|0
1334|4|500|14|3,10|0|0.00|0
1335|1|50|4|170|0|0.00|0
1335|2|150|8|4|0|0.00|0
1335|3|300|5|120|0|0.00|0
1335|4|500|14|3,10|0|0.00|0
1341|1|50|6|50|0|0.00|0
1341|2|100|15|3,10|0|0.00|0
1341|3|200|6|100|0|0.00|0
1341|4|400|14|3,10|0|0.00|0
1342|1|50|6|50|0|0.00|0
1342|2|100|15|3,10|0|0.00|0
1342|3|200|6|100|0|0.00|0
1342|4|400|21|6,25|0|0.00|0
1343|1|50|6|50|0|0.00|0
1343|2|100|15|3,5|0|0.00|0
1343|3|200|6|100|0|0.00|0
1343|4|400|14|3,10|0|0.00|0
1344|1|50|6|50|0|0.00|0
1344|2|100|15|3,10|0|0.00|0
1344|3|200|6|100|0|0.00|0
1344|4|400|14|3,10|0|0.00|0
1345|1|50|6|50|0|0.00|0
1345|2|100|15|3,10|0|0.00|0
1345|3|200|6|100|0|0.00|0
1345|4|400|9|3|0|0.00|0
136|1|50|5|60|0|0.00|0
136|2|100|14|3,10|0|0.00|0
136|3|200|4|300|0|0.00|0
136|4|400|14|4,10|0|0.00|0
687|1|50|5|60|0|0.00|0
687|2|100|14|3,10|0|0.00|0
687|3|200|4|300|0|0.00|0
687|4|400|14|4,10|0|0.00|0
1371|1|150|4|180|0|0.00|0
1371|2|250|32|3,1,10|0|0.00|0
1371|3|400|5|120|0|0.00|0
1371|4|700|37|15|0|0.00|0
1372|1|150|28|160,220,50|0|0.00|0
1372|2|250|33|3,1,20|0|0.00|0
1372|3|400|21|1,40|0|0.00|0
1372|4|700|32|3,1,20|0|0.00|0
1373|1|150|4|180|0|0.00|0
1373|2|250|32|3,2,10|0|0.00|0
1373|3|400|5|120|0|0.00|0
1373|4|700|37|15|0|0.00|0
1374|1|150|28|160,220,50|0|0.00|0
1374|2|250|33|3,2,20|0|0.00|0
1374|3|400|21|2,40|0|0.00|0
1374|4|700|32|3,2,20|0|0.00|0
1380|1|50|5|150|0|0.00|0
1380|2|150|8|2|0|0.00|0
1380|3|300|28|0,90,160|0|0.00|0
1380|4|500|11|2107|0|0.00|0
1381|1|50|5|150|0|0.00|0
1381|2|150|14|4,10|0|0.00|0
1381|3|300|28|0,90,160|0|0.00|0
1381|4|500|14|4,10|0|0.00|0
1382|1|50|5|60|0|0.00|0
