col_1|col_2|col_3|col_4|col_5|col_6|col_7|col_8|col_9|col_10|col_11|col_12|col_13|col_14|col_15|col_16|col_17|col_18
41|822|6|4|6|0|-5|0|0||1852|3671|690|1276|246|560|0|0
42|1245|6|4|6|0|-30|0|0||1175|2204|1376|2485|63|285|0|0
43|408|6|4|6|0|-15|0|0||1096|2173|603|1195|182|413|0|0
44|409|6|4|5|0|-15|0|0||1153|2286|645|1278|162|368|0|0
45|410|6|4|5|15|-20|0|0||1268|2513|555|1100|170|386|0|0
46|411|6|4|5|0|-10|0|0||1142|2264|561|1112|187|425|0|0
47|412|6|4|5|0|5|0|0||1074|2128|663|1314|169|383|0|0
48|1021|6|4|5|-25|-15|0|0||1794|3556|880|1627|208|473|0|0
49|1023|6|4|6|0|-10|0|0||1888|3742|941|1740|185|421|0|0
50|1025|6|4|5|20|-5|0|0||1998|3961|852|1575|194|442|0|0
51|1027|6|4|5|30|-5|0|0||1886|3738|861|1592|222|506|0|0
52|1029|6|4|6|0|-20|0|0||1757|3482|967|1788|192|438|0|0
53|1102|6|4|5|0|-10|0|0||880|1651|1308|2362|87|396|0|0
54|1104|6|4|6|0|-10|0|0||919|1724|1345|2429|73|330|0|0
55|1106|6|4|5|0|-10|0|0||1010|1895|1262|2279|81|368|0|0
56|1108|6|4|5|0|-5|0|0||905|1698|1282|2315|90|408|0|0
57|1110|6|4|4|25|-5|0|0||843|1582|1402|2531|67|304|0|0
58|1239|6|4|6|0|-15|0|0||1619|3209|893|1651|138|314|0|0
59|1291|6|4|6|0|-10|0|0||1423|2820|861|1707|181|410|0|0
60|1277|6|4|6|0|-15|0|0||1429|2833|779|1544|243|552|0|0
61|1047|6|4|6|0|-15|0|0||1324|2624|740|1467|186|422|0|0
62|1429|6|4|5|0|-10|0|0||1822|3611|764|1412|156|355|0|0
63|998|6|4|5|0|-5|0|0||2046|4056|1136|2101|215|489|0|0
64|455|6|4|6|0|-20|0|0||591|1455|307|802|202|615|0|0
65|1041|6|4|6|0|-10|0|0||1367|2709|752|1490|181|411|0|0
66|1042|6|4|5|0|-15|0|0||1565|3102|868|1604|165|376|0|0
67|1043|6|4|5|25|-10|0|0||1580|3132|692|1372|169|384|0|0
68|1044|6|4|5|0|-10|0|0||1552|3076|756|1398|191|435|0|0
69|1045|6|4|6|0|5|0|0||1456|2886|892|1649|172|392|0|0
70|641|6|4|6|0|-20|0|0||1862|3831|829|1569|65|161|0|0
71|642|6|4|5|30|5|0|0||2385|4856|784|1310|29|32|0|0
72|643|6|4|6|0|0|0|0||2548|5187|675|1128|31|35|0|0
73|644|6|4|5|0|-15|0|0||1952|4017|776|1469|67|166|0|0
74|645|6|4|5|20|-15|0|0||1471|2916|901|1666|166|378|0|0
75|1066|5|4|5|0|-10|0|0||1844|3754|805|1345|157|176|0|0
76|1067|6|4|5|0|-10|0|0||1903|3874|838|1400|137|153|0|0
77|1068|5|4|5|10|-10|0|0||2051|4175|719|1201|141|158|0|0
78|1069|6|4|6|0|-20|0|0||1939|3948|756|1264|163|182|0|0
79|1070|6|4|5|0|-15|0|0||1771|3606|868|1450|143|160|0|0
80|1500|6|4|5|15|0|0|0||1018|2017|354|702|229|520|0|0
81|1572|6|4|6|0|-15|0|0||1592|3156|870|1724|168|381|1|0
82|1575|6|4|5|0|-10|0|0||1520|3012|926|1836|177|402|1|0
83|1576|6|4|5|-20|-15|0|0||1431|2837|807|1600|242|549|1|0
84|1266|6|4|6|0|-25|0|0||966|1813|1275|2302|85|386|0|0
85|1267|6|4|5|0|-10|0|0||993|1863|1332|2405|68|310|0|0
86|1268|6|4|5|-20|-5|0|0||1087|2040|1250|2258|76|345|0|0
87|1269|6|4|5|0|-10|0|0||1582|3136|786|1453|193|440|0|0
88|1270|6|4|5|0|-10|0|0||1397|2770|937|1732|167|381|0|0
89|1579|6|4|6|0|-15|0|0||1753|3475|1130|2089|180|409|1|0
90|1576|6|4|5|-15|-15|0|0||1431|2837|807|1600|242|549|0|0
91|1590|6|4|5|0|-15|0|0||1404|2783|841|1667|189|429|0|0
92|1406|6|4|6|0|-20|0|0||1628|3349|785|1486|143|354|0|0
93|1407|6|4|6|0|-15|0|0||1615|3323|840|1590|121|300|0|0
94|1408|6|4|6|0|-15|0|0||1838|3782|711|1346|122|302|0|0
95|1409|6|4|5|-10|-20|0|0||1656|3408|736|1393|157|388|0|0
96|1410|6|4|6|0|-15|0|0||1571|3232|869|1645|123|303|0|0
97|1602|6|4|5|0|-10|0|0||1184|2260|727|1387|401|906|1|0
98|1604|6|4|5|25|-5|0|0||1146|2188|735|1403|349|789|1|0
99|1610|6|4|6|0|-10|0|0||1044|1992|758|1446|364|823|1|0
100|1617|6|4|6|0|-15|0|0||913|1713|1221|2205|89|402|1|0
101|1618|6|4|6|0|-30|0|0||1298|2477|656|1252|349|789|1|0
102|1619|6|4|6|0|-10|0|0||993|1895|806|1538|331|748|1|0
103|1506|6|4|6|0|-10|0|0||1387|2749|850|1685|223|506|1|0
104|1509|6|4|5|0|-10|0|0||1530|3033|732|1451|218|495|1|0
105|1510|6|4|6|0|-20|0|0||1413|2801|865|1714|186|421|1|0
106|1518|6|4|6|0|-10|0|0||2379|4716|1017|1880|163|371|1|0
107|1639|6|4|5|0|-5|0|0||972|1824|1267|2288|96|436|1|0
108|1643|6|4|6|0|-5|0|0||2162|4401|910|1520|112|125|1|0
109|1645|6|4|6|0|-15|0|0||2169|4415|966|1614|103|115|1|0
110|1652|6|4|5|0|0|0|0||2016|4104|882|1474|121|135|1|0
111|1653|6|4|6|0|0|0|0||2465|5018|731|1222|27|30|1|0
112|1654|6|4|6|0|-20|0|0||1022|1918|1164|2102|94|426|1|0
113|1311|6|4|6|0|-10|0|0||1202|2383|826|1527|264|601|0|0
114|1312|6|4|5|20|-10|0|0||1257|2492|871|1610|234|532|0|0
115|1313|6|4|5|0|-15|0|0||1390|2755|762|1409|246|560|0|0
116|1314|6|4|6|0|-20|0|0||1267|2511|781|1444|269|613|0|0
117|1315|6|4|6|0|-15|0|0||1163|2306|909|1681|241|549|0|0
118|674|6|4|6|0|-20|0|0||1417|2705|761|1452|334|755|0|0
119|850|6|4|6|0|-10|0|0||3686|7503|1123|1877|0|0|0|0
120|1392|6|4|6|0|-10|0|0||1819|3743|776|1469|132|327|0|0
121|1310|6|4|6|0|-20|0|0||2357|4672|1249|2309|226|515|0|0
122|1455|6|4|6|0|-15|0|0||1037|1946|1264|2283|78|355|0|0
123|1476|6|4|6|0|-20|0|0||1676|3322|766|1519|165|374|0|0
125|703|6|4|6|0|-15|0|0||1342|3451|919|1658|90|222|1|0
126|704|6|4|6|0|-15|0|0||1261|3245|985|1864|81|200|1|0
127|1310|6|4|6|0|-20|0|0||2357|4672|1249|2309|226|515|1|0
128|742|6|4|6|0|-20|0|0||1454|2775|777|1483|454|1027|1|0
129|850|6|4|6|0|-25|0|0||3686|7503|1123|1877|0|0|1|0
130|998|6|4|6|0|-5|0|0||2047|4057|1136|2100|215|489|1|0
131|1188|6|4|6|0|-20|0|0||2023|4010|1120|2070|269|612|1|0
132|1716|6|4|6|0|-10|0|0||1299|2437|1811|3270|107|485|1|0
134|1672|6|4|6|0|-20|0|0||1439|2852|769|1524|245|556|1|0
135|1674|6|4|5|20|-15|0|0||1514|3001|822|1629|218|494|1|0
136|1680|6|4|6|0|-15|0|0||1413|2800|853|1691|209|474|1|0
137|1687|6|4|6|0|-20|0|0||1405|2785|787|1560|212|481|1|0
138|1688|6|4|6|0|-15|0|0||1612|3196|728|1443|177|402|1|0
139|1689|6|4|6|0|-15|0|0||1497|2967|741|1469|200|454|1|0
140|1191|6|4|5|50|-15|0|0||1336|2550|553|1055|394|890|0|0
141|1192|6|4|6|0|-5|0|0||896|1710|635|1212|448|1012|0|0
142|1193|6|4|6|0|-15|0|0||981|1872|550|1050|469|1060|0|0
143|1194|6|4|5|0|-15|0|0||880|1680|566|1080|487|1100|0|0
144|1195|6|4|6|0|-25|0|0||1163|2220|656|1252|385|870|0|0
146|1371|6|4|6|0|-15|0|0||1757|3482|986|1823|232|528|0|0
147|1373|6|4|6|0|-25|0|0||1835|3637|1041|1925|185|421|0|0
148|827|6|4|5|0|-5|0|0||1725|3420|800|1480|225|512|0|0
149|1354|6|4|5|-10|5|0|0||946|1775|1341|2421|95|431|0|0
150|1699|6|4|6|0|-15|0|0||1883|3733|982|1816|201|457|0|0
153|1404|6|4|6|0|-20|0|0||1235|2317|1423|2570|90|407|1|0
154|1405|6|4|6|0|-5|0|0||1921|3808|873|1614|264|601|1|0
155|1703|6|4|6|0|-15|0|0||1999|3884|659|1306|135|393|1|0
156|1704|6|4|6|0|-5|0|0||1583|3138|752|1390|240|547|1|0
157|1705|6|4|5|0|-15|0|0||1583|3138|879|1625|177|404|1|0
158|1523|6|4|6|0|0|0|0||956|1794|1305|2356|89|403|1|0
159|1710|6|4|6|0|-10|0|0||1119|2136|683|1303|357|807|1|0
160|1711|6|4|5|25|0|0|0||1178|2211|1083|1956|86|388|1|0
161|1726|6|4|6|0|10|0|0||1708|3319|637|1263|174|507|1|0
162|1728|6|4|6|0|5|0|0||2483|4824|539|1068|90|262|1|0
163|1729|6|4|5|-25|0|0|0||1458|2889|869|1722|160|363|1|0
164|1736|6|4|6|0|-10|0|0||1555|3082|1008|1998|146|331|1|0
165|1737|6|4|6|0|-10|0|0||1462|2898|884|1752|235|534|1|0
166|1739|6|4|5|-50|5|0|0||1350|2533|1302|2351|104|471|1|0
167|1752|6|4|6|0|-10|0|0||1868|3629|651|1291|143|417|0|0
168|1261|6|4|5|0|0|0|0||1522|3017|830|1534|198|450|0|0
169|1262|6|4|6|0|-15|0|0||1566|3104|874|1616|165|375|0|0
170|1263|6|4|6|0|0|0|0||1707|3383|771|1426|178|405|0|0
171|1264|6|4|5|0|-5|0|0||1617|3205|792|1465|191|435|0|0
172|1265|6|4|6|0|-10|0|0||1474|2921|910|1682|171|390|0|0
173|1745|6|4|6|0|-15|0|0||1674|3319|775|1433|208|473|1|0
174|1380|6|4|6|0|-20|0|0||1912|3934|851|1611|68|168|0|0
175|1382|6|4|5|30|5|0|0||2411|4908|816|1364|31|35|0|0
176|1384|6|4|6|0|0|0|0||2562|5216|723|1208|33|37|0|0
177|1386|6|4|5|0|-15|0|0||2000|4115|789|1493|74|183|0|0
178|1388|6|4|5|20|-15|0|0||1514|3000|926|1712|170|387|0|0
179|1589|4|4|4|25|-20|0|0||1686|3342|850|1685|279|633|1|0
182|1767|6|4|5|25|-15|0|0||1424|2823|938|1859|210|477|1|0
183|1771|6|4|6|0|-5|0|0||1432|2687|1368|2470|96|437|1|0
185|1773|6|4|6|0|-5|0|0||1027|1927|1239|2238|92|418|1|0
186|1321|6|4|6|0|-20|0|0||1697|3492|759|1437|103|255|0|0
187|1322|6|4|6|0|-10|0|0||1715|3529|808|1530|81|201|0|0
188|1323|6|4|6|0|-20|0|0||1868|3843|736|1393|79|196|0|0
189|1324|6|4|4|0|0|0|0||1797|3698|709|1342|101|249|0|0
190|1325|6|4|6|0|-25|0|0||1596|3284|864|1635|85|210|0|0
191|1787|6|4|5|0|-20|0|0||1136|2132|1284|2319|94|425|1|0
192|1791|6|4|6|0|-15|0|0||1129|2154|780|1489|387|875|1|0
193|1794|6|4|6|0|-15|0|0||969|1818|1347|2433|90|410|1|0
194|1802|6|4|6|0|-15|0|0||1242|2330|1335|2411|45|205|1|0
195|1804|6|4|5|0|-25|0|0||1517|3007|785|1556|257|584|1|0
196|1816|6|4|6|0|-15|0|0||943|1770|1179|2129|100|453|1|0
197|1046|6|4|5|0|-10|0|0||1242|2462|746|1479|209|474|0|0
198|1047|6|4|6|0|-15|0|0||1307|2591|798|1581|186|422|0|0
199|1048|6|4|6|0|-20|0|0||1379|2734|733|1453|180|408|0|0
200|1821|6|4|6|0|10|0|0||1818|3604|919|1699|222|505|0|0
201|1823|6|4|6|0|-5|0|0||1877|3720|954|1764|189|431|0|0
202|1825|6|4|6|0|-5|0|0||2066|4095|827|1529|202|460|0|0
203|1827|6|4|6|0|-5|0|0||1953|3871|836|1545|228|519|0|0
204|1829|6|4|4|0|-30|0|0||1765|3499|1006|1860|193|440|0|0
205|1837|6|4|6|0|-10|0|0||1568|3108|864|1597|198|451|1|0
206|1839|6|4|6|0|-15|0|0||1663|3296|922|1705|176|400|1|0
207|1845|6|4|6|0|-10|0|0||1642|3255|869|1607|178|405|1|0
208|1852|6|4|5|-15|-10|0|0||1150|2194|641|1223|387|875|1|0
209|1853|6|4|6|0|-20|0|0||1731|3562|754|1428|117|290|1|0
210|1854|6|4|6|0|-5|0|0||1617|3205|788|1457|203|463|1|0
211|1818|6|4|5|25|-10|0|0||1794|3556|917|1818|241|547|1|0
212|1390|6|4|6|0|-20|0|0||1366|2607|589|1124|386|872|0|0
213|1391|6|4|5|0|-10|0|0||1714|3527|856|1620|122|302|0|0
214|1393|6|4|6|0|-15|0|0||2239|4558|922|1541|59|66|0|0
215|1394|6|4|6|0|-20|0|0||2188|4454|961|1606|53|59|0|0
216|1882|6|4|5|0|-20|0|0||1633|3237|848|1567|188|427|1|0
217|1883|6|4|6|0|-25|0|0||1189|2356|966|1914|213|483|1|0
218|1885|6|4|5|0|-5|0|0||2168|4297|440|872|213|484|1|0
220|1891|6|4|5|0|-10|0|0||857|1608|1343|2425|83|378|1|0
221|1439|6|4|5|0|5|0|0||1804|3576|819|1514|196|447|1|0
223|1626|6|4|5|0|5|0|0||1919|3804|945|1747|267|609|1|0
225|1926|6|4|4|-30|-10|0|0||1903|3915|718|1359|122|302|1|0
226|1928|6|4|6|0|-15|0|0||1777|3656|750|1420|154|380|1|0
227|1930|6|4|6|0|-20|0|0||1731|3562|805|1524|125|309|1|0
228|1937|6|4|6|0|-15|0|0||1650|3395|747|1414|161|398|1|0
229|1938|6|4|6|0|-20|0|0||1755|3611|860|1628|83|205|1|0
230|1939|6|4|6|0|-20|0|0||1353|2682|837|1659|205|465|1|0
231|1326|6|4|6|0|-10|0|0||925|1735|1376|2485|97|438|0|0
232|1328|6|4|6|0|-15|0|0||964|1809|1423|2570|83|376|0|0
233|1330|6|4|6|0|-15|0|0||1047|1965|1327|2396|92|418|0|0
234|1332|6|4|6|0|-20|0|0||1006|1888|1286|2322|106|479|0|0
235|1334|6|4|6|0|-30|0|0||905|1698|1443|2606|82|370|0|0
236|1904|6|4|6|0|-15|0|0||1496|3078|832|1575|145|359|1|0
237|1946|6|4|6|0|-20|0|0||1477|2819|860|1641|446|1007|0|0
238|826|6|4|6|0|-25|0|0||1739|3447|806|1490|227|516|0|0
239|816|6|4|6|0|-15|0|0||1785|3538|837|1547|197|449|0|0
240|824|6|4|6|0|-15|0|0||1927|3820|721|1333|214|488|0|0
241|820|6|4|6|0|-25|0|0||1809|3585|730|1350|240|547|0|0
242|823|6|4|6|0|-5|0|0||1667|3305|854|1579|213|486|0|0
243|818|6|4|5|0|-10|0|0||1668|3307|855|1581|211|481|0|0
244|1955|6|4|5|30|-10|0|0||1426|2826|786|1558|250|568|1|0
245|1956|6|4|6|0|-15|0|0||1482|2938|936|1856|171|388|1|0
246|1958|6|4|5|-5|-10|0|0||1515|3003|790|1566|224|509|1|0
248|1964|6|4|6|0|-10|0|0||2207|4493|886|1480|34|38|1|0
250|1983|6|4|6|0|-15|0|0||1113|2088|1663|3003|102|461|1|0
251|1372|6|4|5|0|0|0|0||1723|3416|1047|1936|248|564|1|0
252|1374|6|4|5|15|-5|0|0||1766|3501|1091|2017|214|487|1|0
254|1126|6|4|6|0|-10|0|0||859|1612|1268|2290|106|480|0|0
257|1439|6|4|6|0|-5|0|0||1822|3612|862|1594|218|497|0|0
259|2007|6|4|5|0|-5|0|0||1864|3621|719|1425|140|408|1|0
260|2011|6|4|6|0|-5|0|0||2155|4187|538|1067|131|381|1|0
261|2015|6|4|6|0|-10|0|0||1740|3380|798|1581|119|346|1|0
262|2022|6|4|5|0|-10|0|0||1879|3650|647|1282|125|365|1|0
263|2023|6|4|6|0|-15|0|0||1554|3080|673|1334|223|505|1|0
264|2024|6|4|6|0|-10|0|0||1921|3732|609|1208|132|385|1|0
265|2054|6|4|6|0|-15|0|0||974|1661|1359|2376|116|456|1|0
266|2058|6|4|6|0|-15|0|0||1468|1974|1286|2111|104|455|1|0
267|2060|6|4|6|0|-15|0|0||1201|1730|1257|2268|105|434|1|0
271|1068|6|4|6|0|-20|0|0||2051|4175|719|1201|141|158|0|0
272|827|6|4|4|0|-15|0|0||1725|3420|800|1480|225|512|0|0
273|1129|6|4|6|0|-10|0|0||898|1685|1188|2145|113|511|0|0
274|1537|6|4|6|0|-20|0|0||1208|2305|669|1277|378|854|0|0
275|1046|6|4|5|0|-10|0|0||1259|2495|692|1372|209|474|0|0
276|1067|6|4|5|0|0|0|0||1903|3874|838|1400|137|153|0|0
283|817|6|4|6|0|-15|0|0||1783|3534|836|1546|197|448|0|0
284|825|6|4|6|0|-25|0|0||1929|3823|722|1335|215|489|0|0
285|821|6|4|5|0|-35|0|0||1802|3572|728|1346|242|551|0|0
286|819|6|4|6|0|-20|0|0||1676|3323|859|1588|212|483|0|0
289|2130|6|4|6|0|-15|0|0||1666|3302|839|1552|175|398|1|0
290|2131|6|4|6|0|-15|0|0||1823|3614|799|1477|189|430|1|0
291|2132|6|4|6|0|-10|0|0||1633|3237|729|1348|237|539|1|0
292|2137|6|4|6|0|-15|0|0||1569|3110|835|1544|164|373|1|0
293|2138|6|4|5|0|-15|0|0||1724|3417|704|1302|193|440|1|0
294|2139|6|4|6|0|-10|0|0||1688|3346|902|1668|181|413|1|0
295|2099|6|4|5|15|0|0|0||1059|2099|1059|2099|229|520|1|0
