col_1|col_2|col_3
296|迷惑符石∣心外|SI227
297|迷惑符石∣敵外|SI227
298|隱身∣雙重風化3000|SI250SI221
299|首消1Combo盾|SI091
300|首消2Combo盾|SI092
301|首消3Combo盾|SI093
302|首消4Combo盾|SI094
303|首消5Combo盾|SI095
304|首消6Combo盾|SI096
305|20↑Combo盾|SI109
306|轉珠↑3秒∣首消7↑Combo盾|SI105SI166
307|轉珠↑3秒∣首消8↑Combo盾|SI106SI166
308|轉珠↑3秒∣首消9↑Combo盾|SI107SI166
309|越戰越強．金|SI188
310|中級拼圖盾|SI181
311|中級拼圖盾∣限|SI181
312|強化光暗盾|SI245
313|隨機強化雙屬盾．先|SI248
314|隨機強化雙屬盾∣轉|SI248
315|強化三屬盾|SI246
316|隨機強化三屬盾．先|SI248
317|隨機強化三屬盾∣轉|SI246
318|隨機強化四屬盾．先|SI248
319|隨機強化四屬盾∣轉|SI248
320|強化五屬盾|SI248
321|自殘50%|SI161
322|自殘25%|SI161
323|自殘20%|SI161
324|自殘10%|SI161
325|自殘5%|SI161
326|命懸一線∣技能封鎖|SI161SI122
327|五屬盾1000|SI244SI260
328|五屬盾2000|SI244SI260
329|五屬盾3000|SI244SI260
330|五屬盾4000|SI244SI260
331|五屬盾5000|SI244SI260
332|隨機四屬盾1000|SI243SI260
333|隨機四屬盾2000|SI243SI260
334|隨機四屬盾3000|SI243SI260
335|隨機四屬盾4000|SI243SI260
336|隨機四屬盾5000|SI243SI260
337|隨機三屬盾∣敵回10%|SI242SI212
338|隨機三屬盾∣敵回20%|SI242SI212
339|隨機四屬盾∣敵回20%|SI243SI212
340|隨機四屬盾∣敵回30%|SI243SI212
341|強化盾∣反擊100%|SI254SI260
342|強化盾．連續反擊50%|SI254SI260
343|強化盾∣連續反擊25%|SI254SI260
344|強化盾∣扣血50%|SI254SI128
345|強化盾∣扣血40%|SI254SI127
346|強化盾∣扣血30%|SI254SI126
347|強化盾∣扣血20%|SI254SI139
348|強化盾∣敵回10%|SI254SI212
349|強化盾∣敵回5%|SI254SI212
350|強化初級拼圖盾|SI235SI181
351|強化中級拼圖盾|SI235SI181
352|強化初級拼圖盾∣限|SI235SI181
353|人類剋制．攻．鎖|SI069SI122
354|獸類剋制．攻．鎖|SI070SI122
355|魔族剋制．攻．鎖|SI068SI122
356|龍類剋制．攻．鎖|SI071SI122
357|妖精剋制．攻．鎖|SI072SI122
358|水屬剋制．攻．鎖|SI006SI122
359|火屬剋制．攻．鎖|SI007SI122
360|木屬剋制．攻．鎖|SI008SI122
361|光屬剋制．攻．鎖|SI009SI122
362|暗屬剋制．攻．鎖|SI010SI122
363|自爆∣命懸一線|SI168
364|強制自爆∣命懸一線|SI168
365|扣血100%|SI132
366|隨機轉火∣消火扣血2-10%|SI302SI047SI162
367|隨機轉水∣消水敵回2-10%|SI301SI047SI212
368|隨機轉木∣消木減時0.2-1秒|SI303SI047SI165
369|附加消除|SI123
370|雙重凍結∣未消停止冷卻技能|SI220
371|雙重弱化∣未消禁攻|SI277
372|雙重燃燒∣未消扣血10%|SI229
373|雙重活化∣未消敵回10%|SI273
374|雙重鎖定∣未消封印符石|SI223
375|四重凍結∣未消延伸∣停止冷卻技能|SI220
376|封鎖∣消除鎖技2回|SI223
377|指定∣未消轉化圍城|SI227
378|五消不掉強化|SI230
379|自爆∣命懸一線|SI168
380|強制自爆∣命懸一線|SI168
381|軌跡腐蝕|SI228
382|軌跡燃燒100|SI229
383|軌跡燃燒200|SI229
384|軌跡燃燒500|SI229
385|軌跡燃燒800|SI229
386|軌跡燃燒1000|SI229
387|25↑水符石盾|SI031
388|25↑火符石盾|SI032
389|25↑木符石盾|SI033
390|25↑光符石盾|SI034
391|25↑暗符石盾|SI035
392|30↑水符石盾|SI031
393|30↑火符石盾|SI032
394|30↑木符石盾|SI033
395|30↑光符石盾|SI034
396|30↑暗符石盾|SI035
397|隨機轉水|SI011
398|隨機轉火|SI012
399|隨機轉木|SI013
400|隨機轉光|SI014
401|隨機轉暗|SI015
402|凍結圍城∣未消停止冷卻技能|SI220
403|凍結圍城∣未消延伸∣停止冷卻技能|SI220
404|弱化∣未消禁攻|SI277
405|雙重弱化∣未消禁攻|SI277
406|三重弱化∣未消禁攻|SI277
407|指定∣未消轉化圍城|SI227
408|雙重指定∣未消轉化圍城|SI227
409|三重指定∣未消轉化圍城|SI227
410|雙屬攻擊盾|SI257
411|三屬攻擊盾|SI257
412|四屬攻擊盾|SI257
413|五屬攻擊盾|SI257
414|心鎖定∣消除敵回10%|SI218
415|心鎖定∣消除敵回20%|SI218
416|心鎖定∣消除敵回30%|SI218
417|9↑Combo盾|SI107
418|10↑Combo盾|SI108
419|心鎖定∣消除敵回2%|SI218
420|心鎖定∣消除敵回5%|SI218
421|Combo越低越強∣銅|SI188
422|Combo越低越強∣銀|SI188
423|Combo越低越強∣金|SI188
424|中毒60%|SI135
425|中毒70%|SI135
426|中毒80%|SI135
427|中毒90%|SI135
428|回復變0|SI156
429|消珠增攻∣敵外|SI168
430|消珠增攻∣水外|SI301SI168
431|消珠增攻∣火外|SI302SI168
432|消珠增攻∣木外|SI303SI168
433|消珠增攻∣光外|SI304SI168
434|消珠增攻∣暗外|SI305SI168
435|換珠增攻∣心外|SI306SI168
436|回復100%∣攻後轉心鎖定∣消除敵回2%|SI214SI218
437|鎖技2回∣凍結圍城∣未消停止冷卻技能∣攻後未消技能重置|SI122SI220
438|首消隨機Combo追擊盾∣轉|SI110
439|人外剋制．攻|SI157
440|龍外剋制．攻|SI157
441|神外剋制．攻|SI157
442|妖外剋制．攻|SI157
443|獸外剋制．攻|SI157
444|魔外剋制．攻|SI157
445|人外生命提升|SI256
446|龍外生命提升|SI256
447|神外生命提升|SI256
448|妖外生命提升|SI256
449|獸外生命提升|SI256
450|魔外生命提升|SI256
451|種多越強∣銅|SI157
452|種多越強∣銀|SI157
453|種多越強∣金|SI157
454|水外剋制．攻|SI157
455|火外剋制．攻|SI157
456|木外剋制．攻|SI157
457|光外剋制．攻|SI157
458|暗外剋制．攻|SI157
459|水外生命提升|SI256
460|火外生命提升|SI256
461|木外生命提升|SI256
462|光外生命提升|SI256
463|暗外生命提升|SI256
464|屬多越強∣銅|SI157
465|屬多越強∣銀|SI157
466|屬多越強∣金|SI157
467|縱向燃燒10%∣1|SI229
468|縱向燃燒10%∣2|SI229
469|縱向燃燒10%∣3|SI229
470|縱向燃燒10%∣4|SI229
471|縱向燃燒10%∣5|SI229
472|縱向燃燒10%∣6|SI229
473|隨機縱向燃燒10%|SI229
474|人類剋制∣弱|SI158
475|龍類剋制∣弱|SI158
476|神族剋制∣弱|SI158
477|妖精剋制∣弱|SI158
478|獸類剋制∣弱|SI158
479|魔族剋制∣弱|SI158
480|水屬剋制∣弱|SI158
481|火屬剋制∣弱|SI158
482|木屬剋制∣弱|SI158
483|光屬剋制∣弱|SI158
484|暗屬剋制∣弱|SI158
485|屬性剋制∣弱|SI158
486|射擊∣左|SI225
487|射擊∣右|SI225
488|射擊∣上|SI225
489|射擊∣下|SI225
490|雙重凍結|SI219
491|凍結圍城|SI219
492|召喚小怪∣弱∣自爆10000|SI164SI168
493|三重凍結|SI219
494|四重凍結|SI219
495|隱身∣隱攻扣血99%|SI250SI139
496|隱身 ‧ 隱攻3回回復變0 |SI250SI156
497|隱身∣隱攻封鎖∣4回|SI250SI122
498|隨機縱向燃燒10%|SI229
499|縱橫射擊|SI225
500|心鎖定∣未消敵回10%|SI218
501|心鎖定∣未消敵回20%|SI218
502|心鎖定∣未消敵回50%|SI218
503|心鎖定∣未消敵回100%|SI218
504|心鎖定∣未消傷害吸收|SI218
505|禁錮吸收∣首消4Combo解鎖|SI122SI094
506|禁錮吸收∣首消6Combo解鎖|SI122SI096
507|禁錮吸收∣首消4Combo解鎖|SI122SI094
508|禁錮吸收∣首消6Combo解鎖|SI122SI096
509|狂暴|SI188
510|消心扣敵2%∣扣血30%|SI256SI126
511|消心扣敵1%∣扣血50%|SI256SI128
512|消心扣敵0-5%∣扣血70%|SI256SI129
513|定點腐蝕|SI228
514|雙重腐蝕|SI228
515|燃燒10%|SI229
516|雙重燃燒10%|SI229
517|燃燒10%∣延伸|SI229
518|燃燒10%∣雙重延伸|SI229
519|自身轉水|SI047
520|自身轉火|SI047
521|自身轉木|SI047
522|自身轉光|SI047
523|自身轉暗|SI047
524|數多越強|SI188
525|數多越強∣%扣血|SI188
526|人類技能回復|SI125
527|獸類技能回復|SI125
528|神族技能回復|SI125
529|龍類技能回復|SI125
530|妖精技能回復|SI125
531|魔族技能回復|SI125
532|合體技能回復|SI125
533|人類技能重置|SI121
534|獸類技能重置|SI121
535|神族技能重置|SI121
536|龍類技能重置|SI121
537|妖精技能重置|SI121
538|魔族技能重置|SI121
539|人外技能重置|SI121
540|獸外技能重置|SI121
541|神外技能重置|SI121
542|龍外技能重置|SI121
543|妖外技能重置|SI121
544|魔外技能重置|SI121
545|合體外技能重置|SI121
546|隊員技封鎖|SI122
547|合體外技能重置∣附加消除|SI121
548|減攻50%．3~5回|SI158
549|減攻80%．3~5回|SI158
550|減攻90%．3~5回|SI158
551|攻後生命倒數．6回|SI134
552|攻後5回．中毒10%|SI135
553|攻後5回．中毒20%|SI135
554|攻後5回．中毒25%|SI135
555|轉珠減1秒．3~5回|SI165
556|轉珠減2秒．3~5回|SI165
557|攻後–5回中毒20%∣軌跡燃燒500|SI135SI229
558|攻後–5回中毒25%∣軌跡燃燒500|SI135SI229
559|攻後–5回中毒20%∣轉珠減2秒|SI135SI165
560|攻後–5回中毒25%∣轉珠減2秒|SI135SI165
561|附加消除∣攻後問號增攻輪轉|SI123SI224SI157
562|水火防禦75%∣攻後禁錮1員2回|SI001SI002SI122
563|強化盾∣鎖技4員∣超級橫向射擊|SI254SI122SI225
564|轉屬∣剋屬禁消∣光暗防禦95%|SI048SI004SI005
565|軌跡問號4|SI224
566|軌跡問號6|SI224
567|敵血70%下∣扣血50%後自殺|SI168SI251
568|敵血50%下∣扣血50%後自殺|SI168SI251
569|敵血70%下∣扣血100%後自殺|SI168SI251
570|敵血50%下∣扣血100%後自殺|SI168SI251
571|突擊65%∣攻後冰封|SI160SI219
572|突擊65%∣攻後雙重冰封|SI160SI219
573|突擊65%∣燃燒10%|SI160SI229
574|突擊65%∣雙重燃燒10%|SI160SI229
575|突擊65%∣心鎖定∣未消敵回10%|SI160SI218
576|突擊65%∣水心鎖定∣未消敵回20%|SI160SI307SI218
577|先攻∣下回自殺|SI160SI161
578|缺血盾|SI256
579|50%血上盾|SI256
580|5↑Combo盾∣不足扣血100%|SI103SI132
581|7↑Combo盾∣不足扣血100%|SI105SI132
582|10↑Combo盾∣不足扣血100%|SI108SI132
583|擊殺技無效|SI124
584|龍脈回復|SI138
585|三屬盾∣限|SI242
586|光暗盾∣限|SI241
587|禁消∣心|SI043
588|攻後轉橫水|SI011
589|攻後轉橫火|SI012
590|攻後轉橫木|SI013
591|攻後轉橫光|SI014
592|攻後轉橫暗|SI015
593|攻後轉直水|SI011
594|攻後轉直火|SI012
595|攻後轉直木|SI013
596|攻後轉直光|SI014
597|攻後轉直暗|SI015
598|主動傷害吸收|SI211
599|消心扣敵2%∣扣血50%|SI256SI128
600|消心扣敵2%∣扣血70%|SI256SI129
601|消心扣敵5%∣扣血30%|SI256SI126
602|消心扣敵5%∣扣血50%|SI256SI128
603|消心扣敵5%∣扣血70%|SI256SI129
604|軌跡腐蝕∣連|SI228
605|三重風化3000-先|SI221
606|問號符石9∣15%|SI224
607|軌跡腐蝕∣妖精剋制∣連|SI228
608|三屬盾∣龍類剋制∣強化|SI242
609|風化3000-先∣魔族剋制∣三重風化|SI221
610|7↑Combo盾∣人類剋制．攻盾|SI105
611|問號符石9∣神族剋制12∣15%|SI224
612|5回禁消水|SI038
613|5回禁消火|SI039
614|5回禁消木|SI040
615|5回禁消光|SI041
616|5回禁消暗|SI042
617|5回禁消心|SI043
618|首回轉木∣5回火暗防禦盾∣無視減傷∣攻後燃燒10%|SI018SI050SI229SI251
619| 敵轉暗∣命懸一線∣連擊∣低血追擊∣火暗輪轉|SI020SI161SI047SI188
620|5回轉珠減2秒∣連擊∣無視減傷|SI020SI165SI167SI251
621|附加消除∣首消光暗同等盾|SI019SI123SI112
622|5回減攻90%∣攻後雙重冰封∣無視減傷|SI019SI158SI219SI251
623|轉水屬∣反彈35%∣水木外防禦75%|SI016SI260SI001SI003
624|攻前盾∣中毒40%∣攻後封技4回∣越攻越強|SI017SI250SI135SI122SI188
625|木暗防禦90%∣攻後雙重風化∣隨機禁錮1員2回|SI020SI003SI005SI221SI122
626|敵轉水∣首消水木同等盾∣首扣50%∣次扣100%|SI016SI111SI139
627|木水輪轉∣越戰越強．金|SI018SI047SI188
628|先攻∣5回軌跡燃燒800∣7↑Combo追擊盾|SI019SI160SI229SI105
629|無法控制∣不倒意志40%∣1血完全回復∣增攻150%|SI017SI261SI124
630|5回無視減傷|SI251
631|98回無視減傷|SI251
632|5回5↑Combo發動攻回|SI103
633|5回6↑Combo發動攻回|SI104
634|5回7↑Combo發動攻回|SI105
635|5回8↑Combo發動攻回|SI106
636|同攻盾|SI276
637|最高攻擊無效|SI261
638|符石攻擊無效|SI257
639|迷惑符石|SI227
640|越扣越強10%|SI139
641|越扣越強20%|SI139
642|越扣越強25%|SI139
643|3回轉珠減2秒|SI165
644|4回轉珠減2秒|SI165
645|5回轉珠減2秒|SI165
646|3回回復減少50%|SI233
647|4回回復減少50%|SI233
648|5回回復減少50%|SI233
649|攻後水縱橫輪轉|SI011
650|攻後火縱橫輪轉|SI012
651|攻後木縱橫輪轉|SI013
652|攻後光縱橫輪轉|SI014
653|攻後暗縱橫輪轉|SI015
654|攻後心縱橫輪轉|SI045
655|攻後水內外輪轉|SI011
656|攻後火內外輪轉|SI012
657|攻後木內外輪轉|SI013
658|攻後光內外輪轉|SI014
659|攻後暗內外輪轉|SI015
660|攻後心內外輪轉|SI045
661|攻後轉水4|SI301SI047
662|攻後轉火4|SI302SI047
663|攻後轉木4|SI303SI047
664|攻後風化|SI221
665|攻後問號2|SI224
666|3回攻擊無效∣攻後心轉木|SI169SI303SI047
667|1-4風化20%∣追擊∣溢補盾|SI188SI221SI217
668|2-5追擊風化30%∣溢補盾|SI188SI221SI217
669|附加消除∣木心輪轉∣消木吸血1%|SI123SI303SI306SI047SI135
670|附加消除∣木心輪轉∣消木吸血2%|SI123SI303SI306SI047SI135
671|妖魔技能重置∣強化盾∣水縱橫輪轉|SI121SI254SI301SI047
672|超級防禦∣不倒意志40%∣1血完全回復∣增血攻200%|SI124SI251SI261
673|超級防禦∣不倒意志50%∣1血完全回復∣增血攻200%|SI124SI251SI261
674|超級防禦∣不倒意志60%∣1血完全回復∣增血攻200%∣連擊|SI124SI251SI261SI167
675|無法控制∣不倒意志40%∣1血後回復∣增血攻300%∣無視減傷|SI124SI261SI251
676|無法控制∣不倒意志50%∣1血後回復∣增血攻300%∣無視減傷|SI124SI261SI251
677|無法控制∣不倒意志50%∣1血後回復∣增血攻300%∣無視減傷∣連擊|SI124SI261SI251SI167
678|重覆禁錮|SI122
679|重覆禁錮∣越攻越強|SI188SI122
680|定點問號∣問號符石3∣15%|SI224
681|定點問號∣問號符石4∣15%|SI224
682|定點問號∣問號符石5∣15%|SI224
683|無法控制∣問號3∣同屬防禦75%∣攻後問號|SI124SI224SI250
684|無法控制∣問號6∣同屬防禦90%∣攻後問號2|SI124SI224SI250
685|3回轉珠減2秒∣同屬防禦75%∣攻後水內外輪轉∣消水敵回2-10%|SI165SI250SI301SI047SI212
686|5回轉珠減2秒∣同屬防禦90%∣攻後水內外輪轉∣消水敵回2-10%|SI165SI250SI301SI047SI212
687|附加消除∣風化∣換珠∣同屬防禦75%∣攻後風化|SI123SI221SI046SI250
688|附加消除∣風化2∣換珠∣同屬防禦90%∣攻後風化|SI123SI221SI046SI250
689|3回無視減傷∣同屬防禦75%∣攻後光暗轉屬|SI251SI250SI049SI047
690|5回無視減傷∣同屬防禦90%∣攻後光暗轉屬∣吸收|SI251SI250SI049SI047
691|腳板形轉光∣同屬防禦75%∣連擊∣低血追擊|SI304SI047SI250SI188
692|腳板形轉光∣同屬防禦90%∣連擊∣低血追擊|SI304SI047SI250SI188
693|首回攻後心鎖定∣未消傷害吸收|SI218
694|首回攻後水心鎖定∣未消傷害吸收|SI307SI218
695|首回攻後火心鎖定∣未消傷害吸收|SI308SI218
696|首回攻後木心鎖定∣未消傷害吸收|SI309SI218
697|首回攻後光心鎖定∣未消傷害吸收|SI310SI218
698|首回攻後暗心鎖定∣未消傷害吸收|SI311SI218
699|心形鎖定∣未消傷害吸收|SI218SI047
700|首消隨機Combo追擊盾|SI110
701|首消隨機Combo追擊盾∣強|SI110
702|首消隨機Combo追擊盾∣轉|SI110
703|首消隨機Combo追擊盾∣強∣轉|SI110
704|附加消除重置|SI121SI123
705|附加消除重置∣無視減傷|SI121SI123SI251
706|附加消除重置∣2秒轉珠|SI121SI123SI165
707|附加消除重置∣雙重風化3000-先|SI121SI123SI221
708|附加消除重置∣越攻越強|SI121SI123SI188
709|附加消除重置∣越戰越強．金|SI121SI123SI188
710|附加消除重置∣反彈15%|SI121SI123SI260
711|超級防禦|SI124SI251
712|強化∣結|SI235
715|附加消除重置∣強化盾∣無視減傷|SI121SI123SI254SI251
716|光暗防禦90%∣越戰越強．金|SI004SI005SI188
717|5回神魔禁錮∣首回扣血20%∣越攻越強∣軌跡問號9|SI122SI139SI224
718|2秒轉珠∣首回凍結9∣攻後凍結2|SI165SI219
719|冰火轉化∣6↑Combo追擊盾|SI219SI229SI104
720|強化∣技能回復∣結|SI235SI125
721|攻後．1回回復變0|SI156
722|攻後．2回回復變0|SI156
723|攻後．3回回復變0|SI156
724|攻後．4回回復變0|SI156
725|攻後．5回回復變0|SI156
726|攻後．98回回復變0|SI156
727|攻後．1回轉珠減2秒|SI165
728|攻後．2回轉珠減2秒|SI165
729|攻後．3回轉珠減2秒|SI165
730|攻後．4回轉珠減2秒|SI165
731|攻後．5回轉珠減2秒|SI165
732|攻後．98回轉珠減2秒|SI165
733|攻後．1回減攻50%|SI158
734|攻後．2回減攻50%|SI158
735|攻後．3回減攻50%|SI158
736|攻後．4回減攻50%|SI158
737|攻後．5回減攻50%|SI158
738|攻後．98回減攻50%|SI158
739|攻後．1回中毒30%|SI135
740|攻後．2回中毒30%|SI135
741|攻後．3回中毒30%|SI135
742|攻後．4回中毒30%|SI135
743|攻後．5回中毒30%|SI135
744|攻後．98回中毒30%|SI135
745|攻後．1回中毒50%|SI135
746|攻後．2回中毒50%|SI135
747|攻後．3回中毒50%|SI135
748|攻後．4回中毒50%|SI135
749|攻後．5回中毒50%|SI135
750|攻後．98回中毒50%|SI135
751|轉屬．水|SI016
752|轉屬．火|SI017
753|轉屬．木|SI018
754|轉屬．光|SI019
755|轉屬．暗|SI020
756|冰火轉化10%|SI229SI219
