col_1|col_2|col_3|col_4|col_5|col_6|col_7|col_8|col_9|col_10|col_11|col_12|col_13|col_14|col_15|col_16|col_17|col_18|col_19|col_20|col_21|col_22|col_23|col_24|col_25|col_26|col_27|col_28|col_29|col_30|col_31|col_32|col_33|col_34|col_35|col_36|col_37
26|8|3|161|5|5||The Protracted Tower Climbing|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:56#0:58#0:60#0:62#0:64#0:66#0:68#0:70#0:72#0:74#0:261#0:267#0|
27|8|4|137|5|5||To Talk to God|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:56#0:58#0:60#0:62#0:64#0:66#0:68#0:70#0:72#0:74#0:261#0:267#0|
28|8|5|286|5|5|PHASE_SPECIAL_BOSS1|Unleashing the First Seal|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:56#0:58#0:60#0:62#0:64#0:66#0:68#0:70#0:72#0:74#0:261#0:267#0|
29|9|1|131|5|5||Ranger on the Silver Lake|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:56#0:66#0:76#0:131#1:246#0:270#0|
30|9|2|116|5|5||Ruins of the Past|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:56#0:66#0:76#0:116#1:246#0:270#0|
33|9|3|41|7|7||Emergence of Aquatic Dragon|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:41#1:56#0:66#0:76#0:246#0:270#0|
34|10|1|134|5|5||Challenge of the Blazing Ranger|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:58#0:68#0:78#0:134#1:247#0:271#0|
35|10|2|119|5|5||Ruler of Destiny|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:58#0:68#0:78#0:119#1:247#0:271#0|
38|10|3|44|7|7||Lava Challenge|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:44#1:58#0:68#0:78#0:247#0:271#0|
39|11|1|137|5|5||Ranger on the Wilderness|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:60#0:70#0:80#0:137#1:248#0:272#0|
40|11|2|122|5|5||Truth behind the Presage|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:60#0:70#0:80#0:122#1:248#0:272#0|
43|11|3|47|7|7||Lair of the Green Dragon|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:47#1:60#0:70#0:80#0:248#0:272#0|
44|12|1|140|5|5||Ranger of the Spring of Life|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:62#0:72#0:82#0:140#1:249#0:273#0|
45|12|2|125|5|5||The Healer's Sentry Box|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:62#0:72#0:82#0:125#1:249#0:273#0|
48|12|3|50|7|7||The Dragon Vanguard|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:50#1:62#0:72#0:82#0:249#0:273#0|
49|13|1|143|5|5||Way of the Lunatic Ranger|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:64#0:74#0:84#0:143#1:250#0:274#0|
50|13|2|128|5|5||Gleam of Spring|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:64#0:74#0:84#0:128#1:250#0:274#0|
53|13|3|53|7|7||Curse of Decapa|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:53#1:64#0:74#0:84#0:250#0:274#0|
54|14|1|67|6|5||Greed of the Ancient Stylites|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:86#0:88#0:90#0:92#0:94#0:265#0:268#0|
55|14|2|73|6|5||Building Enochian Tower|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:86#0:88#0:90#0:92#0:94#0:265#0:268#0|
56|14|3|170|6|5||Never Give Up|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:86#0:88#0:90#0:92#0:94#0:265#0:268#0|
57|14|4|131|6|5||Tenacity to Stop Apocalypse|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:86#0:88#0:90#0:92#0:94#0:265#0:268#0|
58|14|5|288|8|7|PHASE_SPECIAL_BOSS4|Unleashing the Second Seal|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:86#0:88#0:90#0:92#0:94#0:265#0:268#0|
59|15|1|57|7|6||The Chant of Sirens|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:56#0:66#0:106#0:251#0:275#0|
60|15|2|77|7|6||The Frozen Blade|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:66#0:76#0:106#0:251#0:275#0|
63|15|3|67|10|8||Trail of the Elves|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:66#0:106#0:251#0:275#0|
64|16|1|59|7|6||The Bloodstained Volcano|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:58#0:68#0:108#0:252#0:276#0|
65|16|2|79|7|6||The Flaring Blade|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:68#0:78#0:108#0:252#0:276#0|
68|16|3|69|10|8||The Bloodred Stage|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:68#0:108#0:252#0:276#0|
69|17|1|61|7|6||Edge of the Ridge|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:60#0:70#0:110#0:253#0:277#0|
70|17|2|81|7|6||Poisonous Blade|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:70#0:80#0:110#0:253#0:277#0|
73|17|3|71|10|8||Dreamy Symphony|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:70#0:110#0:253#0:277#0|
74|18|1|63|7|6||Summoning the Light Gnome|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:62#0:72#0:112#0:254#0:278#0|
75|18|2|83|7|6||The Golden Blade|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:72#0:82#0:112#0:254#0:278#0|
78|18|3|73|10|8||Bouncing Lights|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:72#0:112#0:254#0:278#0|
79|19|1|65|7|6||Summoning the Dark Gnome|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:64#0:74#0:114#0:255#0:279#0|
80|19|2|85|7|6||The Dark Blade|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:74#0:84#0:114#0:255#0:279#0|
83|19|3|75|10|8||Disguise of the Elves|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:74#0:114#0:255#0:279#0|
84|20|1|77|8|6||Awakening of the Ancient Stylites|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:106#0:108#0:110#0:112#0:114#0:262#0|
85|20|2|87|8|6||The Invading Evil Spirit|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:106#0:108#0:110#0:112#0:114#0:262#0|
86|20|3|164|8|6||Remains of History|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:106#0:108#0:110#0:112#0:114#0:262#0|
87|20|4|134|8|6||Caroling under the Stars|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:106#0:108#0:110#0:112#0:114#0:262#0|
88|20|5|287|10|8|PHASE_SPECIAL_BOSS3|Unleashing the Third Seal|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:76#0:78#0:80#0:82#0:84#0:106#0:108#0:110#0:112#0:114#0:262#0|
89|21|1|132|9|7||Guardian of Water|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:57#0:67#0:77#0:89#0:131#1:256#0:275#0|
90|21|2|117|9|7||Rewriting History|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:57#0:67#0:77#0:89#0:116#1:256#0:275#0|
93|21|3|42|12|10||Roar of the Sea Dragon|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:41#1:57#0:67#0:77#0:89#0:256#0:275#0|
94|22|1|135|9|7||The Arrogant Axeman|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:59#0:69#0:79#0:91#0:134#1:257#0:276#0|
95|22|2|120|9|7||Prestige of the Executor|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:59#0:69#0:79#0:91#0:119#1:257#0:276#0|
98|22|3|45|12|10||Vanished Dragon|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:44#1:59#0:69#0:79#0:91#0:257#0:276#0|
99|23|1|138|9|7||Sharpshooter in the Lethal Swamp|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:61#0:71#0:81#0:87#0:137#1:258#0:277#0|
100|23|2|123|9|7||The Cursed Creature|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:61#0:71#0:81#0:87#0:122#1:258#0:277#0|
103|23|3|48|12|10||Armorode's Fang|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:47#1:61#0:71#0:81#0:87#0:258#0:277#0|
104|24|1|141|9|7||Rally of Sacred Paladins|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:63#0:73#0:83#0:95#0:140#1:259#0:278#0|
105|24|2|126|9|7||Apple Orchard's Owner|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:63#0:73#0:83#0:95#0:125#1:259#0:278#0|
108|24|3|51|12|10||The Gold Dragon's Threat|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:50#1:63#0:73#0:83#0:95#0:259#0:278#0|
109|25|1|144|9|7||Assassin in the Dark|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:65#0:75#0:85#0:93#0:143#1:260#0:279#0|
110|25|2|129|9|7||Reaper of Souls|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:65#0:75#0:85#0:93#0:128#1:260#0:279#0|
113|25|3|54|12|10||Ingress of Decapator|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:53#1:65#0:75#0:85#0:93#0:260#0:279#0|
114|26|1|177|10|7||Seals of the Ancient Stylites|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:67#0:69#0:71#0:73#0:75#0:77#0:79#0:81#0:83#0:85#0:266#0:269#0|
115|26|2|183|10|7||The Trapped Evil Spirits|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:67#0:69#0:71#0:73#0:75#0:77#0:79#0:81#0:83#0:85#0:266#0:269#0|
116|26|3|180|10|7||Banishing the Evil Spirits!|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:67#0:69#0:71#0:73#0:75#0:77#0:79#0:81#0:83#0:85#0:266#0:269#0|
117|26|4|141|10|7||World in My Palm|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:67#0:69#0:71#0:73#0:75#0:77#0:79#0:81#0:83#0:85#0:266#0:269#0|
118|26|5|285|13|10|PHASE_SPECIAL_BOSS2|Unleashing the Fourth Seal|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:67#0:69#0:71#0:73#0:75#0:77#0:79#0:81#0:83#0:85#0:266#0:269#0|
119|27|1|133|11|7||Splashes over the Ridge|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@67#0:77#0:87#0:89#0:107#0:109#0:131#1:275#0|
120|27|2|118|11|7||Motivator of Destiny|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@67#0:77#0:87#0:89#0:107#0:109#0:116#1:275#0|
123|27|3|43|14|10||Gluttonous Dragon King|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:41#1:67#0:77#0:87#0:89#0:107#0:109#0:275#0|
124|28|1|136|11|7||Gyration of Blazing Spirits|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@69#0:79#0:89#0:91#0:109#0:111#0:134#1:276#0|
125|28|2|121|11|7||Determiner of Fate|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@69#0:79#0:89#0:91#0:109#0:111#0:119#1:276#0|
128|28|3|46|14|10||Dragon in Purgatory|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:44#1:69#0:79#0:89#0:91#0:109#0:111#0:276#0|
129|29|1|139|11|7||Zephyr at Dawn|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@71#0:81#0:87#0:91#0:107#0:111#0:137#1:277#0|
130|29|2|124|11|7||Arrival of the Goddess of Fortune|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@71#0:81#0:87#0:91#0:107#0:111#0:122#1:277#0|
133|29|3|49|14|10||The Armed Warrior|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:47#1:71#0:81#0:87#0:91#0:107#0:111#0:277#0|
134|30|1|142|11|7||Invasion of Twilight|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@73#0:83#0:93#0:95#0:113#0:115#0:140#1:278#0|
135|30|2|127|11|7||The Queen's Secret Emissary|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@73#0:83#0:93#0:95#0:113#0:115#0:125#1:278#0|
138|30|3|52|14|10||Legacy of the Dragon|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:50#1:73#0:83#0:93#0:95#0:113#0:115#0:278#0|
139|31|1|145|11|7||The Mortal Combat|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@75#0:83#0:93#0:95#0:113#0:115#0:143#1:279#0|
140|31|2|130|11|7||Chooser of Slain|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@75#0:83#0:93#0:95#0:113#0:115#0:128#1:279#0|
143|31|3|55|14|10||Rage of the Dragons|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:53#1:75#0:83#0:93#0:95#0:113#0:115#0:279#0|
144|32|1|148|12|7||Wish of the Ancient Stylites|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@87#0:89#0:91#0:93#0:95#0:107#0:109#0:111#0:113#0:115#0:263#0|
145|32|2|151|12|7||Pioneers into the Heaven|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@87#0:89#0:91#0:93#0:95#0:107#0:109#0:111#0:113#0:115#0:263#0|
146|32|3|154|12|7||Destination ahead|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@87#0:89#0:91#0:93#0:95#0:107#0:109#0:111#0:113#0:115#0:263#0|
147|32|4|157|12|7||Before Awakening|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@87#0:89#0:91#0:93#0:95#0:107#0:109#0:111#0:113#0:115#0:263#0|
148|32|5|290|15|10|PHASE_SPECIAL_BOSS5|Unleashing the Final Seal|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@87#0:89#0:91#0:93#0:95#0:107#0:109#0:111#0:113#0:115#0:158#0:263#0|
277|87|1|334|12|7||Voice in the Briny Wind|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:67#0:77#0:79#0:87#0:107#0:109#0:280#0:97#0|
278|87|2|339|12|7||War on the Glacial Valley|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:77#0:79#0:87#0:107#0:109#0:280#0:97#0:67#0|
279|87|3|148|12|7||Shadow Under the Ice|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:77#0:79#0:87#0:107#0:109#0:280#0:97#0:67#0|
280|87|4|178|12|7||The Call of Cthulhu|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:77#0:79#0:87#0:107#0:109#0:280#0:97#0:67#0|
281|87|5|201|17|10||Luxurious Cruise of the Gods|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:77#0:79#0:87#0:107#0:109#0:280#0:97#0:67#0|
282|88|1|335|12|7||The Chief of Hills and Rocks|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@5#1:69#0:79#0:81#0:89#0:109#0:111#0:281#0:99#0|
283|88|2|340|12|7||Flame of Assault|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@5#1:79#0:81#0:89#0:109#0:111#0:281#0:99#0:69#0|
284|88|3|151|12|7||The Civilization in Flame|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@5#1:79#0:81#0:89#0:109#0:111#0:281#0:99#0:69#0|
285|88|4|181|12|7||Watchdog of the Hell|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@5#1:79#0:81#0:89#0:109#0:111#0:281#0:99#0:69#0|
286|88|5|203|17|10||The One-armed Judge|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@5#1:79#0:81#0:89#0:109#0:111#0:281#0:99#0:69#0|
287|89|1|336|12|7||The Floral Noble|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@9#1:71#0:77#0:81#0:91#0:107#0:111#0:282#0:101#0|
288|89|2|341|12|7||Fangs in the Jungle|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@9#1:77#0:81#0:91#0:107#0:111#0:282#0:101#0:71#0|
289|89|3|154|12|7||The Quiet Metallic Beast|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@9#1:77#0:81#0:91#0:107#0:111#0:282#0:101#0:71#0|
290|89|4|184|12|7||The Temple of Venoms|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@9#1:77#0:81#0:91#0:107#0:111#0:282#0:101#0:71#0|
291|89|5|205|17|10||The Owner of the Gold Necklace|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@9#1:77#0:81#0:91#0:107#0:111#0:282#0:101#0:71#0|
292|90|1|337|12|7||Noble under the Crescent|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@13#1:73#0:83#0:85#0:93#0:113#0:115#0:283#0:103#0|
293|90|2|342|12|7||Pike Blessed by the Light|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@13#1:83#0:85#0:93#0:113#0:115#0:283#0:103#0:73#0|
294|90|3|157|12|7||The Roar of the Furious Lion|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@13#1:83#0:85#0:93#0:113#0:115#0:283#0:103#0:73#0|
295|90|4|187|12|7||The Brutal King of Beasts|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@13#1:83#0:85#0:93#0:113#0:115#0:283#0:103#0:73#0|
296|90|5|207|17|10||Shriek of the God of Lightning|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@13#1:83#0:85#0:93#0:113#0:115#0:283#0:103#0:73#0|
297|91|1|338|12|7||The Witch in the Dark|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@17#1:75#0:83#0:85#0:95#0:113#0:115#0:284#0:105#0|
298|91|2|343|12|7||The Merciless|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@17#1:83#0:85#0:95#0:113#0:115#0:284#0:105#0:75#0|
299|91|3|160|12|7||The Wings of the Dark Crescent|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@17#1:83#0:85#0:95#0:113#0:115#0:284#0:105#0:75#0|
300|91|4|190|12|7||Puppet of the Evil Lord|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@17#1:83#0:85#0:95#0:113#0:115#0:284#0:105#0:75#0|
